Handle;Title;Description;Created;Updated;Vendor;Product Type;Tags;Max price;Min price;Variant 1;Variant 1 price;Variant 1 price to compare;Variant 1 Featured Image URL;Variant 2;Variant 2 price;Variant 2 price to compare;Variant 2 Featured Image URL;Variant 3;Variant 3 price;Variant 3 price to compare;Variant 3 Featured Image URL;Variant 4;Variant 4 price;Variant 4 price to compare;Variant 4 Featured Image URL;Variant 5;Variant 5 price;Variant 5 price to compare;Variant 5 Featured Image URL;Image 1 URL;Image 2 URL;Image 3 URL;Image 4 URL;Image 5 URL;Image 6 URL;Image 7 URL;Image 8 URL;Image 9 URL;Image 10 URL;Option 1;Option 2;Option 3
sr04;SR04;"HC-SR04 ultrasonic module sensor display measure distance
Working Voltage:DC 5VStatic State Current:5mAElectrical Level Output: 5V highelectrical Level Output: at the end of 0VDetection Angle:?15°Measurement Range:2cm~800cmAccuracy:0.5cmInterface Definition:VCC,Trig,Echo,GndUsing Method:Control port sends a high of more than 10us then wait for the high output at the receiving port.Once there being output can open the timer timing,when the port goes low timer value can be read,this is for the distance of time,can calculate the distance.Uninterrupted period measurement, mobile measurement value can be obtained.";2022/02/15;2022/12/19;E7WIN;Electronics;"Development
Electronics DIY
Sonar";49;49;Default Title;49;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/SR04.jpg?v=1644924551;;;;;;;;;;Title (Default Title);;
b05-bl-a60;B05-BL-A60;"?Bluetooth Pairing?Faster paring speed. Easily turn on the bulb through the eWeLink APP.?Adjustable Schedule/Scene Action?Not only turn on the light at any time, but also adjust the brightness, color temperature, and color in the Schedule/Scene.?E27?Standard E27 base.?Energy Conservation?Only 9.9kWh a year. Helps you save more electricity costs.?Voice Control?Support Alexa and Google Assistant. Control the bulb with your voice.














 

 ";2022/01/31;2022/12/19;Sonoff;Smart Light;"bulb
Ewelink
RGB
Smart Home
Smart Lighting
Sonoff
Wifi
Works with Alexa
Works with Google Home";209;209;Default Title;209;209;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/BL05.png?v=1648615296;;;;;;;;;;Title (Default Title);;
sonoff-dualr2-wifi-wireless-smart-switch;Sonoff DualR2;"Overview
Sonoff Dual is a WiFi based 2 gang switch that can connect and independently control two connected appliances or lights. This simply means 1 Sonoff Dual control switch equals to 2 Sonoff basic switches! Sonoff Dual 2 gang light switch inherits Sonoff Basic switch’s advantages such as easy installation and operation, quick WiFi access, remote control through APP EweLink.
In the application eWeLink, available on both iOS and Android, users can independently turn on/off each of the two connected devices. But the button on Sonoff Dual 2 gang WiFi light switch is not an ON/OFF toggle switch, it is only a WiFi pairing button. Users can set single/repeat/countdown timing schedules to turn on/off at a specified time, and also share with others so that they can control together.










 



Product Type
Wi-Fi Smart Switch


Electrical Rating
AC 100-240V/10A , AC 100-240V/15A


MCU
ESP8285


Switch Channel
Dual


Output Contact Type
Wet Contact


Max Load
2200W, 3500W


Wireless Connectivity
Wi-Fi IEEE 802.11b/g/n 2.4GHz


RF 433MHz
No


Works With
Amazon Alexa, Google Assistant, IFTTT


DIY Mode
No


Certified Compliance
CE, FCC, RoHS


Operating Temperature
-10°C~40°C


Operating Humidity
10% - 90% RH non-condensing


Casing Material
PC V0


Dimension
114*52*32mm


";2021/01/14;2022/12/19;Sonoff;Smart Switch;"Black Friday
Ewelink
Relay
Smart Switch
Sonoff
Sonoff Dual
Wifi
Works with Alexa
Works with Google Home";269;269;Default Title;269;289;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/dualr2.png?v=1610603249;;;;;;;;;;Title (Default Title);;
curtain-dual-wall-mount;Curtain Double Wall Mount;;2022/01/08;2022/12/19;Eiferer_ZA;;;39;39;Default Title;39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Title (Default Title);;
smart-home-tuya-zigbee-3-0-pir-motion-sensor-with-smart-life-app;Smart Home Tuya Zigbee 3.0 Pir Motion Sensor;;2020/08/19;2022/12/19;ZEMISMART;Motion Sensor;"Ewelink
Motion Sensor
Sensor
Smart Button
Smart Home
Works with Alexa
Works with Google Home
Zigbee";399;399;Default Title;399;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/ZigPIR3.png?v=1597860008;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/H4d2568af3f6c41bb881f6de7ef2d2732F.png?v=1597860105;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/H623448a82f024dac96e75da99c69cf3dx.png?v=1597860105;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Hf8602d0b2b3441b5b150bf39337197a3p.png?v=1597860105;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Ha1e210ea4d2f4bcabd8f003d4af5345fZ.png?v=1597860105;;;;;;Title (Default Title);;
nspanel;NSPanel-US;" ?All in One Control Center? NSPanel can help you achieve the use of specific scene modes in different scenes with one tap. In addition to the scenario-based control, it is compatible with almost all sonoff devices and the central control function of the control group.?Integrated HMI Panel ?SONOFF NSPanel centrally integrates HMI control, smart temperature control, and smart wall switch, turning your home into a convenient and smart place.?Home Automation Thermostat?With a built-in powerful thermostat, you can set different indoor temperatures for different periods of time, and NSPanel will automatically trigger the heating or cooling equipment according to your setting conditions to keep the room at a comfortable temperature.?Multiple Ways to Control?You can use the dual-channel switches, touchscreen, and eWeLink App to control SONOFF NSPanel; Besides, SONOFF NSPanel supports Alexa, Alice, Google Assistant, and even Siri Shortcuts, you can control your home appliances with simple voice control.?Know the Time & Weather? With built-in sensors and WiFi connection, NSPanel smart scene wall switch can real-time updates weather, indoor temperature, outdoor temperature, time, and date.
 





















";2021/12/08;2022/12/15;Sonoff;Smart Light Switch;"Ewelink
Smart Home
Smart Light Switch
Smart Lighting
Sonoff
Wifi
Works with Alexa
Works with Google Home";1350;1350;Default Title;1350;1999;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/image_png2073848647.png?v=1656313716;;;;;;;;;;Title (Default Title);;
switchbot-hub-mini;SwitchBot Hub Mini;"PRODUCT DESCRIPTION
SwitchBot Hub Mini is an all-in-one universal compact IR remote control, a voice or app controlled auto-learning remote control for any IR appliance and SwitchBot.
Enable remote control, Alexa, Google Assistant, Siri and IFTTT.
Pair your air conditioner, TV, and any appliance to the Hub Mini. You'll never worry about losing your remote again!
Keep the appliances you love, and make them smart with SwitchBot. Installing a Hub Mini in each room, you can operate household appliances from anywhere.
Turn on air conditioner remotely, and make room cool before arriving home. With schedule feature, you will NEVER forget to turn off the appliances saving energy and money.
Setup in 1 minute without tooling or wiring. Add the Hub Mini in the app then start Smart Learning. Point your remote at the Hub Mini and press any button, and bingo! Now your remote is learned.
 Hub Mini supports over 4,000 brands out of the box. Moreover, it can learn and replicate any infrared signal with manual mode. Hub Mini works with Alexa, Google Home and Siri so you can use voice commands to control your air conditioner, TV and more. For example, you can use phrases like ""Alexa, turn on the aircon"", ""OK Google, switch off the TV"" and ""Hey Siri, increase the temperature in the kitchen"".
The best choice for DIY and creative makers. Simply integrate the Hub Mini to IFTTT, and DIY the use cases. Connect your appliance and nearby SwitchBots (the Bot, Meter and more) to Wi-Fi. Enable remote control, Alexa, Google Home, Siri, and IFTTT. SwitchBot, your simple switch to a SMART HOME.


Easy to use

Most people set up SwitchBot Hub Mini in 1 minute or less. If you ever need help, reach out to us with the free mobile App (tap Feedback).
First, pair your Hub Mini in the intuitive SwitchBot App. Then add your infrared remote controller with the ""Smart Learning"" mode in just 5 seconds. Bingo, you are ready to go!
Learning fast like lightning. Hub Mini supports over 4,000 brands out of the box. You can enjoy the ease of ""Smart Learning"". Simply point your remote to the Hub Mini, then press any button, your device brand and model will be automatically identified. The database is being updated every a few weeks to keep you up to date.
What about those brands or models not included? No worry, SwitchBot Hub Mini can mimic any infrared signal with manual learning modes (i.e. Customize or DIY mode).
Customize mode works like templates for common IR-controlled appliances like TV, light, speaker, etc. You can still enjoy the industry cutting-edge voice control experience while we keep updating the database. For any other appliances, the DIY mode will cover your back and record the infrared signal from each remote button.
Moreover, with a portable and USB-powered* design, you can set and use the Hub Mini the way you prefer. Either hang it up to a nail on the wall, place it on the table, paste it anywhere with the complementary double-side sticker.
No matter where you are going to place the Hub Mini, the well-chosen USB cable is soft and offers flexibility. We carefully select the cable with a proper memorylessness and shape to compatible with most use cases.
* Note: Hub Mini required a 5V 1A USB adapter or an equivalent power source. It is NOT included in the package and needs to be purchased separately.




All remotes in one app

Pair your air conditioner, TV, and other infrared controllable appliances to the Hub Mini.
Now you can set a schedule to turn on the Air conditioner and set the desired temperature before you arrive home, make your appliances smart with SwitchBot!
Obtain a Hub Mini, then you can toss out all your remotes. You will be surprised what an IR blaster can do for you, and enjoy the convenience at your fingertip.
Place 1 Hub Mini for each room with infrared devices you want to control is the suggested way. So that your infrared control can be spread to every corner of your house.
Enjoy a morning routine by turning on the TV for your favorite morning news. Turn off AC when you are leaving to save power. Make your own movie time scene, just with the SwitchBot App on hand.
Let alone the timers, voice control, and remote control!
But, do you know there is more than just Infrared?




Your ""mini"" step to a smart home

As a gateway, the Hub Mini connects SwitchBot Bluetooth Low Energy (BLE) devices to the Internet, consequently enable more possibilities.
Get a Hub Mini at home, so you can benefit from long battery life gadgets while getting more fun. We offer variant BLE-based SwitchBot devices, like the Bot (mechanical button pusher), the Meter (thermometer & hygrometer), etc. (purchase separately).
Your smart home plan is now easier than before. Not to mention more Wi-Fi-based SwitchBot devices like the SwitchBot smart humidifier.
Create a smart ""Scene"" in the SwitchBot App to automate things. As an example, when SwitchBot Meter detects your room temperature has exceeded 80°F, turn on your AC with the Hub Mini. While if the humidity is lower than 60%, turn on SwitchBot smart humidifier.
Already have some devices from other vendors in the home? Not a problem. The IFTTT support also brings maximum compatibility and freedom, so you can put things work together.
Every single SwitchBot product works on its own. While they work better with others.
So Just start with the one that you need for now. SwitchBot can be your ""mini"" step to a smart home.




Yours for the asking

SwitchBot works with Alexa, Google Assistant, and Siri shortcuts. You can control all SwitchBot devices or home appliances with simple voice commands.
Say ""Alexa, good morning."" Then SwitchBot will make a cup of coffee, turn on the TV and set the channel to your favorite one, turn off your bedroom AC.
Begin your beautiful morning with the SwitchBot morning routine.
Get SwitchBot Hub Mini to find out what Google Home and Siri can do for you.
Wants voice control to the traditional IR-based devices? SwitchBot: all yours for the asking.




Remote control, save energy & money

Forgot to turn off the home AC before leaving? Open the SwitchBot App, turn it off remotely. No need to worry about the bill next month.
Set a pre-defined scene, your appliances can be turned off automatically when leaving for work at 8 am. SwitchBot got you covered in different ways.
Save energy and our planet means we don’t heat or cool an empty home. SwitchBot makes all this easier.
Go green with your creative ways to turn on/off or adjust the home appliance settings. Keep things in control of the way you like.
Take care of your pets remotely and automatically. Set up heating or cooling device control with a Hub Mini and a Bot (mechanical button pusher), optionally place a Meter (thermometer & hygrometer) nearby.
Get SwitchBot Hub Mini, make the first move to keep things in control.C


Easy to use

Most people set up SwitchBot Hub Mini in 1 minute or less. If you ever need help, reach out to us with the free mobile App (tap Feedback).
First, pair your Hub Mini in the intuitive SwitchBot App. Then add your infrared remote controller with the ""Smart Learning"" mode in just 5 seconds. Bingo, you are ready to go!
Learning fast like lightning. Hub Mini supports over 4,000 brands out of the box. You can enjoy the ease of ""Smart Learning"". Simply point your remote to the Hub Mini, then press any button, your device brand and model will be automatically identified. The database is being updated every a few weeks to keep you up to date.
What about those brands or models not included? No worry, SwitchBot Hub Mini can mimic any infrared signal with manual learning modes (i.e. Customize or DIY mode).
Customize mode works like templates for common IR-controlled appliances like TV, light, speaker, etc. You can still enjoy the industry cutting-edge voice control experience while we keep updating the database. For any other appliances, the DIY mode will cover your back and record the infrared signal from each remote button.
Moreover, with a portable and USB-powered* design, you can set and use the Hub Mini the way you prefer. Either hang it up to a nail on the wall, place it on the table, paste it anywhere with the complementary double-side sticker.
No matter where you are going to place the Hub Mini, the well-chosen USB cable is soft and offers flexibility. We carefully select the cable with a proper memorylessness and shape to compatible with most use cases.
* Note: Hub Mini required a 5V 1A USB adapter or an equivalent power source. It is NOT included in the package and needs to be purchased separately.




All remotes in one app

Pair your air conditioner, TV, and other infrared controllable appliances to the Hub Mini.
Now you can set a schedule to turn on the Air conditioner and set the desired temperature before you arrive home, make your appliances smart with SwitchBot!
Obtain a Hub Mini, then you can toss out all your remotes. You will be surprised what an IR blaster can do for you, and enjoy the convenience at your fingertip.
Place 1 Hub Mini for each room with infrared devices you want to control is the suggested way. So that your infrared control can be spread to every corner of your house.
Enjoy a morning routine by turning on the TV for your favorite morning news. Turn off AC when you are leaving to save power. Make your own movie time scene, just with the SwitchBot App on hand.
Let alone the timers, voice control, and remote control!
But, do you know there is more than just Infrared?




Your ""mini"" step to a smart home

As a gateway, the Hub Mini connects SwitchBot Bluetooth Low Energy (BLE) devices to the Internet, consequently enable more possibilities.
Get a Hub Mini at home, so you can benefit from long battery life gadgets while getting more fun. We offer variant BLE-based SwitchBot devices, like the Bot (mechanical button pusher), the Meter (thermometer & hygrometer), etc. (purchase separately).
Your smart home plan is now easier than before. Not to mention more Wi-Fi-based SwitchBot devices like the SwitchBot smart humidifier.
Create a smart ""Scene"" in the SwitchBot App to automate things. As an example, when SwitchBot Meter detects your room temperature has exceeded 80°F, turn on your AC with the Hub Mini. While if the humidity is lower than 60%, turn on SwitchBot smart humidifier.
Already have some devices from other vendors in the home? Not a problem. The IFTTT support also brings maximum compatibility and freedom, so you can put things work together.
Every single SwitchBot product works on its own. While they work better with others.
So Just start with the one that you need for now. SwitchBot can be your ""mini"" step to a smart home.




Yours for the asking

SwitchBot works with Alexa, Google Assistant, and Siri shortcuts. You can control all SwitchBot devices or home appliances with simple voice commands.
Say ""Alexa, good morning."" Then SwitchBot will make a cup of coffee, turn on the TV and set the channel to your favorite one, turn off your bedroom AC.
Begin your beautiful morning with the SwitchBot morning routine.
Get SwitchBot Hub Mini to find out what Google Home and Siri can do for you.
Wants voice control to the traditional IR-based devices? SwitchBot: all yours for the asking.




Remote control, save energy & money

Forgot to turn off the home AC before leaving? Open the SwitchBot App, turn it off remotely. No need to worry about the bill next month.
Set a pre-defined scene, your appliances can be turned off automatically when leaving for work at 8 am. SwitchBot got you covered in different ways.
Save energy and our planet means we don’t heat or cool an empty home. SwitchBot makes all this easier.
Go green with your creative ways to turn on/off or adjust the home appliance settings. Keep things in control of the way you like.
Take care of your pets remotely and automatically. Set up heating or cooling device control with a Hub Mini and a Bot (mechanical button pusher), optionally place a Meter (thermometer & hygrometer) nearby.
Get SwitchBot Hub Mini, make the first move to keep things in control.



";2021/12/29;2022/09/27;Switch-bot;Smart Hub;"Smart Home
Switchbot
Wifi
Works with Alexa
Works with Google Home";1149;1149;Default Title;1149;649;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Switchbot_e40a103e-ffd2-46c5-87ca-42cdf8c86e4d.png?v=1640782916;;;;;;;;;;Title (Default Title);;
lightswitch-coverplates;Lightswitch - coverplates;Lightswitch - backplates;2021/09/30;2022/12/19;EIFERER;Cover;;75;75;Default Title;75;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;Title (Default Title);;
sonoff-s26-r2-wifi-smart-plug-de;Sonoff S26 R2 WiFi Smart Plug – DE/BR;"

Overview
?Remote Control?Turn on/off the electrical devices from anywhere, and check the status of your devices on phone anytime.?Timing?Set scheduled/countdown/loop timers to turn on/off your devices at a specified  time.?Share Control?Share the device with your family, let them control it together.?Smart Scene?Work with other smart devices, like triggered on/off by temp., make your life smarter.?Compatibility?Works perfectly with Alexa, Google Assistant, IFTTT.










";2021/12/07;2022/12/19;Sonoff;Smart Plug;"Ewelink
S26
Smart Home
Smart Switch
Sonoff
Wifi
Works with Alexa
Works with Google Home";259;249;DE;249;249;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/s26r2.png?v=1638906118;BR;259;239;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/s26br.png?v=1647355907;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/s26r2.png?v=1638906118;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/s26br.png?v=1647355907;;;;;;;;;Type (DE, BR);;
sonoff-rm433-r2-remote-controller-base-sold-separately;SONOFF RM433 R2 Remote Controller (Base sold separately);"







";2021/12/07;2022/12/19;Sonoff;Remote;"Remote
RF433
Smart Home
Sonoff";159;159;Default Title;159;122;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/rm4332.png?v=1638905702;;;;;;;;;;Title (Default Title);;
sonoff-ifan04;Sonoff iFan04-H;"Overview?Direct Replacement?Simply replace your existing ordinary ceiling fan with a lights controller with iFan04-L, you will immediately get a smart ceiling fan with lights.?APP&433MHz RF Remote Control?Through eWeLink App, you can remotely control the ceiling fan with lights with ease on iOS & Android smartphones anywhere and anytime. The device can be also controlled via the RM433 remote controller (included in the package). The small 433MHz remote controller design allows you to hang it on the wall as a wireless wall switch or remove it as a remote control as required.?3 Fan Speeds?The APP enables you to choose low, medium, and high fan speed to keep your room comfortable. ?Timer&Schedule?By presetting single, repeating, and countdown timers, the iFan04 WiFi Ceiling Fan&Light Controller can be automatically turn on/off at a specific time.?Hands-free Voice Control?SONOFF iFan04-L is compatible with Amazon Alexa ( Amazon Echo/Echo Dot/Amazon Tap) and Google Home Assistant. It allows you to use your voice to control your ceiling fan with lights and enjoy a hands-free experience.
 
 ";2021/12/07;2022/12/19;Sonoff;Smart Switch;"Ewelink
Relay
RF433
Smart Home
Smart Switch
Sonoff
Sonoff Ifan
Wifi
Works with Alexa
Works with Google Home";499;499;Default Title;499;499;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Ifan4.png?v=1638905434;;;;;;;;;;Title (Default Title);;
zbdongle-p;Sonoff Zigbee 3.0 USB Dongle Plus;" 

Pre-flashed with Z-Stack 3.x.0 coordinator firmware
Can use ZHA in Home Assistant or use Zigbee2MQTT
Base on TI CC2652P + CP2102N
+20dBm output gain
SMA interface external antenna
Aluminum housing effectively reduces signal interference from peripherals
Optional 1.5m USB extension cable for better signal range

 





";2021/12/07;2022/12/19;Sonoff;Smart Bridge;"Ewelink
Smart Bridge
Smart Home
Sonoff
Wifi
Works with Alexa
Works with Google Home
Zigbee";449;449;Default Title;449;449;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/ZBDongle-P.png?v=1638904534;;;;;;;;;;Title (Default Title);;
ewelink-wifi-dimmer-light-switch;Ewelink WIFI Dimmer Light Switch;"

Features:Workable Light for the Dimmer SwitchThe WiFi Dimmer Switch can work with Incandescent lamp, halogen lamp, Iodine tungsten lamp, Resistive buck LED lamp, stepless dimming LED lamp. Not all LED bulbs are suitable for our WiFi dimmer switch, so we have a dimmable LED bulb that can be dimmed with the WiFi switch. Intelligent dimming, intelligent life.Smart WiFi touch control Stepless Dimmer SwitchThis touch dimmer switch supports maximum power of 300W that can work with most lights with dimming function. This dimmer provides the maximum amount of stepless dimming range, user can dim the light to save more electricity and extend bulb life. Voltage: AC 90-250V voltage.APP Remote ControlUser can use a smartphone to remotely turn on/off lights or adjust stepless brightness at anytime and anywhere via APP as long as the iOS/Android phone has 3G/4G/WIFI network, enjoy the convenience of intelligent life! App: eWeLink (Not support RF433 remote control.)Compatible with Amazon Alexa / Google Home / IFTTTUser can control this stepless WiFi dimmer via voice through Alexa / Google device to turn on/off the light and adjust the brightness. Connect APP with IFTTT, create a triggers and actions on IFTTT website/APP and control your lights. Easy operation, smart life!Timing SchedulesSupport max 8 enable single/repeat/countdown timing schedules each device. Preset timers can work even network is unavailable, but the device must keep power on.
Specification:The Smart Wifi SwitchType: Smart Wall Outlet(US Plug)Material: Flame Retardant ABS,toughened glassQuantity: 1 pcItem Color:Black/WhitePower Supply: 90-250V ACMax. Current: 2A/250V/GangMax. Power: 300WWi-Fi: IEEE 802.11 b/g/n, 433MHz RFPlug: US/EU standardOS Supported: Android and iOSAPP Download: eWeLink Wireless Power Consumption: <5 mWEnvironment Temp.:-20-70°CCertification: CE,RoHS,FCC
Size:
US: 12*7.2*0.9 cm/4.7*2.8*0.4""(L*W*H)EU: 8.6*8.6*0.9 cm/3.4*3.4*0.4""(L*W*H)Minimum installation size:US: 7.2*5.1*2.6cm/2.8*2*1""(L*W*H)EU: 5*5.1*2.5cm/2*2*1""(L*W*H)Net Weight:US: 143.5g/5.1ozEU: 135.5g/4.8oz";2018/10/28;2022/12/19;Eachen;Smart Light Switch;"Dimmer
Ewelink
RF433
Smart Home
Smart Switch
Wifi
Works with Alexa
Works with Google Home";529;529;White;529;529;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Dimmer.png?v=1579447295;Black;529;529;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/KingDimmer.jpg?v=1579447295;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Dimmer.png?v=1579447295;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/eweDim-W.jpg?v=1579447295;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/KingDimB.jpg?v=1579447295;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/KingDimmer.jpg?v=1579447295;;;;;;;Colour (White, Black);;
shelly-bypass;SHELLY Bypass;"
Needed If Dimmer 2 Is Used With No Neutral Has Less Than 10w Load
";2021/12/02;2022/12/19;Shelly;Smart Switch;"Dimmer
Shelly
Smart Home";85;85;Default Title;85;99;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/shellyBPass.png?v=1638427153;;;;;;;;;;Title (Default Title);;
rf-bridger2;RF BridgeR2;"
More Information


Product Type
RF Smart Bridge


Power Supply
USB 5V


MCU
ESP8285


Wireless Connectivity
Wi-Fi IEEE 802.11b/g/n 2.4GHz


Works With
Amazon Alexa, Google Assistant, Samsung Smarthings


Certified Compliance
CE, FCC, RoHS, ICASA


Operating Temperature
-10°C~40°C


Casing Material
PC V0


Dimension
62x62x20 mm


QTY per Carton(Inner)
100


Carton Size
280x195x235mm



 
 









";2021/11/25;2022/12/19;Sonoff;Smart Bridge;"Ewelink
RF433
Sensor
Smart Bridge
Smart Home
Sonoff
Wifi
Works with Alexa
Works with Google Home";349;349;Default Title;349;349;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/rfbridge2.jpg?v=1637868710;;;;;;;;;;Title (Default Title);;
copy-of-sonoff-pow-r3;SPM-Main;"
More Information


Product Type
Wi-Fi Smart Switch


Electrical Rating
100-240V ~ 50/60Hz 50mA Max


Output Contact Type
Wet Contact


Wireless Connectivity
Wi-Fi IEEE 802.11b/g/n 2.4GHz


RF 433MHz
No


DIY Mode
No


Certified Compliance
CE, FCC


Operating Temperature
-10°C~40°C


Casing Material
PC V0



 
?Connect up to 32 SPM-4Relays?One SPM-Main can be connected 32 SPM-4Relays. Each SPM-4Relay has 4 isolated channels to help you manage devices more conveniently.?Power metering?You can monitor the power consumption by checking eWeLink App on your mobile phone. Obtaining current, voltage and power easily.?Max. 20A/Gang?Each channel can support maximum current of 20A, no fear of high power load.?Communicated by RS-485?The SPM-Main communicates with the SPM-4Relays through RS-485, which allows for multi-terminal and stable long-distance data transmission.?Overload Protection?Once the overload protection is enabled, it can protect your devices from burning out.Note: The Main Unit and 4-Relay of the Stackable Power Meter need to be used together. The Main Unit is connected to at least one 4-Relay to function.













";2021/11/25;2022/12/19;Sonoff;Smart Switch;"Circuit Breaker
Ewelink
POW
Power Monitoring
relay
Smart Home
Smart Switch
Sonoff
Wifi
Works with Alexa
Works with Google Home";919;919;Default Title;919;970;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/spmmain.jpg?v=1637866321;;;;;;;;;;Title (Default Title);;
spm-relay;SPM-4Relay;"
More Information


Electrical Rating
100-240V~ 50/60Hz


Switch Channel
Four


Max Load
20A/Gang ,80A/Total


Wireless Connectivity
Wi-Fi IEEE 802.11b/g/n 2.4GHz


RF 433MHz
No


DIY Mode
No


Certified Compliance
CE, FCC


Operating Temperature
-10°C~40°C


Casing Material
PC V0




?Connect up to 32 SPM-4Relays?One SPM-Main can be connected 32 SPM-4Relays. Each SPM-4Relay has 4 isolated channels to help you manage devices more conveniently.?Power metering?You can monitor the power consumption by checking eWeLink App on your mobile phone. Obtaining current, voltage and power easily.?Max. 20A/Gang?Each channel can support maximum current of 20A, no fear of high power load.?Communicated by RS-485?The SPM-Main communicates with the SPM-4Relays through RS-485, which allows for multi-terminal and stable long-distance data transmission.?Overload Protection?Once the overload protection is enabled, it can protect your devices from burning out.Note: The Main Unit and 4-Relay of the Stackable Power Meter need to be used together. The Main Unit is connected to at least one 4-Relay to function.













";2021/11/25;2022/12/19;Sonoff;Smart Switch;"Circuit Breaker
Ewelink
POW
Power Monitoring
relay
Smart Home
Smart Switch
Sonoff
Wifi
Works with Alexa
Works with Google Home";1499;1499;Default Title;1499;1499;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/spm4relay.jpg?v=1637866425;;;;;;;;;;Title (Default Title);;
ubtech;UBTECH Stormtrooper Robot;"Introducing the Star Wars Stormtrooper from a galaxy far, far away. Delivering an awesome interactive AR experience for Star Wars fans everywhere. Features include: Voice Command, issue orders by speaking directly to the Stormtrooper, who will then carry out the command; Facial Recognition, create a database of up to four faces using the facial biometrics capture process for customised interactions; Sentry Patrolling, order the Stormtrooper to patrol a designated area to detect and respond to intruders. Users receive a notification when the Stormtrooper triggers an alert and can remotely order the Stormtrooper to ""confront"" or ""clear"" the intruder.Welcome to the First Order. Take direct command of your own First Order Stormtrooper with UBTECH's app-Enabled stormtrooper robot. With a cutting-edge AR experience, voice command capability, facial recognition to Ward off intruders, and patrolling capabilities to keep your area safe, the Resistance does not stand a chance.Connect your Stormtrooper via secure Wi-Fi and start having fun via the free iOS and Android compatible App.Includes:- Stormtrooper- Charger- User manualFeatures:- Issue orders by speaking directly to your Stormtrooper Facial Recognition- Create a database of up to four faces using the facial biometrics capture process for customized interactions- Order your Stormtrooper to patrol the designated area in this mode to detect and respond to intruders- First and Third Person AR (Augmented Reality)- Protect the Galactic Empire by identifying the Resistance and Rebel fighters and even launch attacks via the app interface in first and third person views for immersive interactive play- Wi-Fi connectivity and Programmable on iOS and Android APP- Create your own behaviours and sequences using Blockly codeSpecifications:- Suitable for ages 8 years and older- Batteries: 1 Lithium ion batteries required (Included)- Dimensions: 12.7cm x 15.5cm x 28cm- Weight: 1.8kg- Warranty: 12 Months";2021/11/08;2022/12/12;UBTECH;Robotic Toys;"Black Friday
ubtech
wifi";2999;2999;Default Title;2999;6965;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Starwars.png?v=1636380367;;;;;;;;;;Title (Default Title);;
